Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"OK"	,"PTS810SJM250SMTRLFS"	,"KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6"	,"78.74mm"	,"-12.7mm"	,"78.74mm"	,"-12.7mm"	,"76.64mm"	,"-11.625mm"	,"4"	,"T"	,"0"	,"Yes"	,"PTS810SJM250SMTRLFS"	,
"USB1"	,"U254-051T-4BH83-F1S"	,"MICRO-USB-SMD_U254-051T-4BH83-F1S"	,"96.52mm"	,"-25.4mm"	,"96.52mm"	,"-25.4mm"	,"95.195mm"	,"-26.7mm"	,"9"	,"T"	,"90"	,"No"	,"U254-051T-4BH83-F1S"	,
"R6"	,"AC0402FR-072KL"	,"R0402"	,"27.94mm"	,"12.7mm"	,"27.94mm"	,"12.7mm"	,"28.373mm"	,"12.7mm"	,"2"	,"T"	,"180"	,"Yes"	,"2K"	,
"R7"	,"AC0402FR-072KL"	,"R0402"	,"27.94mm"	,"10.16mm"	,"27.94mm"	,"10.16mm"	,"27.507mm"	,"10.16mm"	,"2"	,"T"	,"0"	,"Yes"	,"2K"	,
"R3"	,"RC0402FR-071KL"	,"R0402"	,"35.56mm"	,"22.86mm"	,"35.56mm"	,"22.86mm"	,"35.56mm"	,"23.293mm"	,"2"	,"T"	,"270"	,"Yes"	,"1K"	,
"R4"	,"RC0603JR-0710KL"	,"R0603"	,"35.56mm"	,"17.78mm"	,"35.56mm"	,"17.78mm"	,"35.56mm"	,"18.533mm"	,"2"	,"T"	,"270"	,"Yes"	,"10K"	,
"C16"	,"C0603X5R106M160NT"	,"C0603"	,"76.2mm"	,"30.48mm"	,"76.2mm"	,"30.48mm"	,"76.2mm"	,"31.18mm"	,"2"	,"T"	,"270"	,"Yes"	,"10uF"	,
"C17"	,"C0603X5R106M160NT"	,"C0603"	,"30.48mm"	,"27.94mm"	,"30.48mm"	,"27.94mm"	,"29.78mm"	,"27.94mm"	,"2"	,"T"	,"0"	,"Yes"	,"10uF"	,
"C18"	,"C0603X5R106M160NT"	,"C0603"	,"30.48mm"	,"30.48mm"	,"30.48mm"	,"30.48mm"	,"31.18mm"	,"30.48mm"	,"2"	,"T"	,"180"	,"Yes"	,"10uF"	,
"C19"	,"C0603X5R106M160NT"	,"C0603"	,"73.66mm"	,"30.48mm"	,"73.66mm"	,"30.48mm"	,"73.66mm"	,"29.78mm"	,"2"	,"T"	,"90"	,"Yes"	,"10uF"	,
"+"	,"PTS810SJM250SMTRLFS"	,"KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6"	,"58.42mm"	,"-12.7mm"	,"58.42mm"	,"-12.7mm"	,"56.32mm"	,"-11.625mm"	,"4"	,"T"	,"0"	,"Yes"	,"PTS810SJM250SMTRLFS"	,
"-"	,"PTS810SJM250SMTRLFS"	,"KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6"	,"68.58mm"	,"-12.7mm"	,"68.58mm"	,"-12.7mm"	,"66.48mm"	,"-11.625mm"	,"4"	,"T"	,"0"	,"Yes"	,"PTS810SJM250SMTRLFS"	,
"SET"	,"PTS810SJM250SMTRLFS"	,"KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6"	,"48.26mm"	,"-12.7mm"	,"48.26mm"	,"-12.7mm"	,"46.16mm"	,"-11.625mm"	,"4"	,"T"	,"0"	,"Yes"	,"PTS810SJM250SMTRLFS"	,
"BOOT1"	,"PTS810SJM250SMTRLFS"	,"KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6"	,"40.64mm"	,"22.86mm"	,"40.64mm"	,"22.86mm"	,"39.565mm"	,"20.76mm"	,"4"	,"T"	,"90"	,"Yes"	,"PTS810SJM250SMTRLFS"	,
"C1"	,"100n"	,"C0603"	,"43.18mm"	,"-10.16mm"	,"43.18mm"	,"-10.16mm"	,"43.18mm"	,"-10.86mm"	,"2"	,"T"	,"90"	,"Yes"	,"100n"	,
"C2"	,"100n"	,"C0603"	,"50.8mm"	,"0mm"	,"50.8mm"	,"0mm"	,"50.1mm"	,"0mm"	,"2"	,"T"	,"0"	,"Yes"	,"100n"	,
"C3"	,"100n"	,"C0603"	,"50.8mm"	,"5.08mm"	,"50.8mm"	,"5.08mm"	,"51.5mm"	,"5.08mm"	,"2"	,"T"	,"180"	,"Yes"	,"100n"	,
"C4"	,"100n"	,"C0603"	,"43.18mm"	,"13.97mm"	,"43.18mm"	,"13.97mm"	,"43.18mm"	,"14.67mm"	,"2"	,"T"	,"270"	,"Yes"	,"100n"	,
"C5"	,"100n"	,"C0603"	,"35.56mm"	,"6.858mm"	,"35.56mm"	,"6.858mm"	,"35.56mm"	,"6.158mm"	,"2"	,"T"	,"90"	,"Yes"	,"100n"	,
"C6"	,"100n"	,"C0603"	,"35.56mm"	,"-2.54mm"	,"35.56mm"	,"-2.54mm"	,"34.86mm"	,"-2.54mm"	,"2"	,"T"	,"0"	,"Yes"	,"100n"	,
"C7"	,"100n"	,"C0603"	,"35.56mm"	,"-5.08mm"	,"35.56mm"	,"-5.08mm"	,"34.86mm"	,"-5.08mm"	,"2"	,"T"	,"0"	,"Yes"	,"100n"	,
"C8"	,"100n"	,"C0603"	,"50.8mm"	,"12.7mm"	,"50.8mm"	,"12.7mm"	,"50.8mm"	,"13.4mm"	,"2"	,"T"	,"270"	,"Yes"	,"100n"	,
"C9"	,"100n"	,"C0603"	,"53.34mm"	,"12.7mm"	,"53.34mm"	,"12.7mm"	,"53.34mm"	,"13.4mm"	,"2"	,"T"	,"270"	,"Yes"	,"100n"	,
"C10"	,"100n"	,"C0603"	,"38.1mm"	,"17.78mm"	,"38.1mm"	,"17.78mm"	,"38.1mm"	,"17.08mm"	,"2"	,"T"	,"90"	,"Yes"	,"100n"	,
"C11"	,"100n"	,"C0603"	,"45.72mm"	,"22.86mm"	,"45.72mm"	,"22.86mm"	,"45.02mm"	,"22.86mm"	,"2"	,"T"	,"0"	,"Yes"	,"100n"	,
"C12"	,"10u"	,"C0603"	,"45.72mm"	,"25.4mm"	,"45.72mm"	,"25.4mm"	,"45.02mm"	,"25.4mm"	,"2"	,"T"	,"0"	,"Yes"	,"10u"	,
"C13"	,"10u"	,"C0603"	,"53.34mm"	,"7.62mm"	,"53.34mm"	,"7.62mm"	,"53.34mm"	,"6.92mm"	,"2"	,"T"	,"90"	,"Yes"	,"10u"	,
"C14"	,"100n"	,"C0603"	,"50.8mm"	,"7.62mm"	,"50.8mm"	,"7.62mm"	,"50.8mm"	,"6.92mm"	,"2"	,"T"	,"90"	,"Yes"	,"100n"	,
"U1"	,"RP2040"	,"LQFN-56_L7.0-W7.0-P0.4-EP"	,"43.18mm"	,"2.54mm"	,"43.18mm"	,"2.54mm"	,"39.63mm"	,"5.14mm"	,"57"	,"T"	,"0"	,"Yes"	,"RP2040"	,
"U2"	,"W25Q128JWPIQ"	,"WSON-8_L6.0-W5.0-P1.27-BL-EP"	,"38.1mm"	,"12.7mm"	,"38.1mm"	,"12.7mm"	,"35.087mm"	,"14.605mm"	,"9"	,"T"	,"270"	,"Yes"	,"W25Q128JWPIQ"	,
"X1"	,"SMD-3225_4P12M12pf10ppm"	,"CRYSTAL-SMD_4P-L3.2-W2.5-BL"	,"40.64mm"	,"-5.08mm"	,"40.64mm"	,"-5.08mm"	,"39.54mm"	,"-5.93mm"	,"4"	,"T"	,"0"	,"Yes"	,"12MHz"	,
"U4"	,"NCP1117ST33T3G"	,"SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR"	,"53.34mm"	,"25.4mm"	,"53.34mm"	,"25.4mm"	,"55.64mm"	,"28.37mm"	,"4"	,"T"	,"90"	,"Yes"	,"NCP1117ST33T3G"	,
"OLED1"	,"EA OLEDM128-6GGA"	,"EA OLEDM128-6"	,"50.81mm"	,"55.91mm"	,"50.8mm"	,"55.88mm"	,"74.94mm"	,"77.38mm"	,"26"	,"T"	,"180"	,"No"	,"EA OLEDM128-6GGA"	,
"BT6"	,"BS-08-B2AA016"	,"BAT-SMD_BS-08-B2AA016"	,"73.66mm"	,"12.7mm"	,"73.66mm"	,"12.7mm"	,"73.66mm"	,"1.45mm"	,"2"	,"T"	,"270"	,"Yes"	,"BS-08-B2AA016"	,
"C22"	,"C0603X5R106M160NT"	,"C0603"	,"25.4mm"	,"-7.62mm"	,"25.4mm"	,"-7.62mm"	,"25.4mm"	,"-8.32mm"	,"2"	,"T"	,"90"	,"Yes"	,"10uF"	,
"U3"	,"DS3231SN"	,"SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL"	,"27.94mm"	,"2.54mm"	,"27.94mm"	,"2.54mm"	,"23.495mm"	,"-2.21mm"	,"16"	,"T"	,"0"	,"Yes"	,"DS3231SN#"	,
"C24"	,"C0603X5R106M160NT"	,"C0603"	,"71.12mm"	,"30.48mm"	,"71.12mm"	,"30.48mm"	,"71.12mm"	,"31.18mm"	,"2"	,"T"	,"270"	,"Yes"	,"10uF"	,
"C26"	,"C0603X5R106M160NT"	,"C0603"	,"68.58mm"	,"30.48mm"	,"68.58mm"	,"30.48mm"	,"68.58mm"	,"31.18mm"	,"2"	,"T"	,"270"	,"Yes"	,"10uF"	,
"R5"	,"AR03FTC9103"	,"R0603"	,"66.04mm"	,"30.48mm"	,"66.04mm"	,"30.48mm"	,"66.04mm"	,"29.727mm"	,"2"	,"T"	,"90"	,"Yes"	,"910kΩ"	,
"R2"	,"RC0402JR-0727RL"	,"R0402"	,"48.26mm"	,"12.7mm"	,"48.26mm"	,"12.7mm"	,"48.26mm"	,"12.267mm"	,"2"	,"T"	,"90"	,"Yes"	,"27Ω"	,
"R1"	,"RC0402JR-0727RL"	,"R0402"	,"45.72mm"	,"12.7mm"	,"45.72mm"	,"12.7mm"	,"45.72mm"	,"12.267mm"	,"2"	,"T"	,"90"	,"Yes"	,"27Ω"	,
"C15"	,"100n"	,"C0603"	,"25.4mm"	,"27.94mm"	,"25.4mm"	,"27.94mm"	,"26.1mm"	,"27.94mm"	,"2"	,"T"	,"180"	,"Yes"	,"100n"	,
"C20"	,"100n"	,"C0603"	,"25.4mm"	,"30.48mm"	,"25.4mm"	,"30.48mm"	,"24.7mm"	,"30.48mm"	,"2"	,"T"	,"0"	,"Yes"	,"100n"	,
"C25"	,"100n"	,"C0603"	,"43.053mm"	,"30.353mm"	,"43.053mm"	,"30.353mm"	,"43.053mm"	,"29.653mm"	,"2"	,"T"	,"90"	,"Yes"	,"100n"	,
"C23"	,"100n"	,"C0603"	,"40.64mm"	,"17.78mm"	,"40.64mm"	,"17.78mm"	,"40.64mm"	,"18.48mm"	,"2"	,"T"	,"-90"	,"Yes"	,"100n"	,
"C21"	,"100n"	,"C0603"	,"27.94mm"	,"-7.62mm"	,"27.94mm"	,"-7.62mm"	,"27.94mm"	,"-8.32mm"	,"2"	,"T"	,"90"	,"Yes"	,"100n"	,
